example_id                                       | status  | run_time        |
./spec/models/item_spec.rb[1:2:1:1:1]            | passed  | 0.00312 seconds |
./spec/models/item_spec.rb[1:2:1:1:2]            | passed  | 0.00288 seconds |
./spec/models/item_spec.rb[1:2:1:1:3]            | passed  | 0.00314 seconds |
./spec/models/item_spec.rb[1:2:2:1:1:1]          | passed  | 0.00313 seconds |
./spec/models/item_spec.rb[1:2:2:1:2:1]          | passed  | 0.00687 seconds |
./spec/models/item_spec.rb[1:2:2:2:1]            | passed  | 0.00655 seconds |
./spec/models/item_spec.rb[1:2:2:2:2]            | passed  | 0.00831 seconds |
./spec/models/item_spec.rb[1:2:2:2:3]            | passed  | 0.00759 seconds |
./spec/models/item_spec.rb[1:2:3:1]              | passed  | 0.00307 seconds |
./spec/models/item_spec.rb[1:2:3:2]              | passed  | 0.0028 seconds  |
./spec/models/item_spec.rb[1:2:3:3]              | passed  | 0.00283 seconds |
./spec/models/item_spec.rb[1:2:3:4]              | passed  | 0.00282 seconds |
./spec/models/item_spec.rb[1:2:4:1]              | passed  | 0.00289 seconds |
./spec/models/item_spec.rb[1:2:5:1]              | passed  | 0.00314 seconds |
./spec/models/ldap_spec.rb[1:1]                  | pending | 0.00001 seconds |
./spec/models/license_spec.rb[1:1:1:1:1]         | passed  | 0.00337 seconds |
./spec/models/license_spec.rb[1:1:1:1:2]         | passed  | 0.00385 seconds |
./spec/models/license_spec.rb[1:1:1:1:3]         | passed  | 0.00339 seconds |
./spec/models/license_spec.rb[1:1:2:1]           | passed  | 0.00753 seconds |
./spec/models/license_spec.rb[1:1:3:1]           | passed  | 0.02465 seconds |
./spec/models/license_spec.rb[1:1:4:1:1]         | passed  | 0.00372 seconds |
./spec/models/license_spec.rb[1:1:4:2:1]         | passed  | 0.01429 seconds |
./spec/models/location_spec.rb[1:1:1]            | passed  | 0.00378 seconds |
./spec/models/location_spec.rb[1:1:2]            | passed  | 0.00282 seconds |
./spec/models/location_spec.rb[1:2:1:1:1]        | passed  | 0.01321 seconds |
./spec/models/location_spec.rb[1:2:1:1:2]        | passed  | 0.00139 seconds |
./spec/models/location_spec.rb[1:2:1:1:3]        | passed  | 0.00201 seconds |
./spec/models/location_spec.rb[1:2:2:1]          | passed  | 0.00109 seconds |
./spec/models/location_spec.rb[1:2:2:2]          | passed  | 0.00115 seconds |
./spec/models/location_spec.rb[1:2:2:3]          | passed  | 0.00112 seconds |
./spec/models/location_spec.rb[1:2:2:4]          | passed  | 0.00115 seconds |
./spec/models/location_spec.rb[1:2:2:5]          | passed  | 0.00122 seconds |
./spec/models/location_spec.rb[1:2:3:1]          | passed  | 0.00299 seconds |
./spec/models/location_spec.rb[1:2:3:2]          | passed  | 0.00117 seconds |
./spec/models/location_spec.rb[1:2:3:3]          | passed  | 0.00114 seconds |
./spec/models/location_spec.rb[1:2:3:4]          | passed  | 0.00305 seconds |
./spec/models/manufacturer_spec.rb[1:1:1]        | passed  | 0.00381 seconds |
./spec/models/manufacturer_spec.rb[1:1:2]        | passed  | 0.003 seconds   |
./spec/models/manufacturer_spec.rb[1:2:1:1]      | passed  | 0.00124 seconds |
./spec/models/manufacturer_spec.rb[1:2:1:2]      | passed  | 0.00112 seconds |
./spec/models/manufacturer_spec.rb[1:2:1:3]      | passed  | 0.00119 seconds |
./spec/models/manufacturer_spec.rb[1:2:1:4]      | passed  | 0.00112 seconds |
